row,col,x_m,y_m,height_mean_m,height_std_m,height_min_m,height_max_m,sample_count
17,12,-45.3125,-43.359375,6.24615,0.003663,6.214195,6.25946,2752
17,13,-44.921875,-43.359375,6.246185,0.003204,6.214352,6.253562,2972
17,14,-44.53125,-43.359375,6.246306,0.003006,6.214164,6.252195,1598
18,11,-45.703125,-42.96875,6.167686,0.016642,6.154153,6.29118,1021
18,12,-45.3125,-42.96875,6.179704,0.023635,6.152371,6.281216,7139
18,13,-44.921875,-42.96875,6.178909,0.02324,6.151913,6.25168,7687
18,14,-44.53125,-42.96875,6.176829,0.022526,6.1524,6.245996,5884
19,11,-45.703125,-42.578125,6.102808,0.016777,6.094327,6.298467,904
19,12,-45.3125,-42.578125,6.103045,0.016572,6.094715,6.305464,2104
19,13,-44.921875,-42.578125,6.1022,0.012166,6.078804,6.258029,2082
19,14,-44.53125,-42.578125,6.101583,0.008649,6.07061,6.233473,2066
19,15,-44.140625,-42.578125,6.101454,0.006408,6.096395,6.164205,229
20,11,-45.703125,-42.1875,6.027696,0.019939,6.017556,6.271226,1152
20,12,-45.3125,-42.1875,6.02744,0.020493,6.017943,6.276664,1837
20,13,-44.921875,-42.1875,6.026599,0.014866,6.005587,6.263565,1829
20,14,-44.53125,-42.1875,6.027325,0.016746,6.018291,6.226563,1836
20,15,-44.140625,-42.1875,6.026513,0.01062,6.018909,6.176168,690
21,177,19.140625,-41.796875,6.212627,4.2e-05,6.212474,6.212745,238
21,178,19.53125,-41.796875,6.214332,0.007231,6.21247,6.243257,17
21,186,22.65625,-41.796875,6.324104,0.0,6.324104,6.324104,1
24,178,19.53125,-40.625,6.210809,4.8e-05,6.21057,6.210954,253
24,179,19.921875,-40.625,6.225765,0.015056,6.21071,6.240821,2
24,185,22.265625,-40.625,6.327141,0.0,6.327141,6.327141,1
24,186,22.65625,-40.625,6.91736,0.0,6.91736,6.91736,1
24,187,23.046875,-40.625,5.881284,0.108487,5.774417,6.4866,511
50,22,-41.40625,-30.46875,3.731981,0.010248,3.727326,3.86982,187
50,23,-41.015625,-30.46875,3.71217,0.103844,3.583905,5.058453,689
50,24,-40.625,-30.46875,3.685064,0.121033,3.548149,5.103208,1144
51,21,-41.796875,-30.078125,3.654064,0.0011,3.652493,3.656993,17
51,22,-41.40625,-30.078125,3.636453,0.106267,3.542659,4.992551,1339
51,23,-41.015625,-30.078125,3.501964,0.151176,3.356595,5.637617,1099
51,24,-40.625,-30.078125,3.387372,0.206666,3.207724,5.636924,1010
52,21,-41.796875,-29.6875,3.585034,0.091414,3.507764,4.981083,894
52,22,-41.40625,-29.6875,3.485957,0.257038,3.3978,5.640759,466
52,23,-41.015625,-29.6875,3.336946,0.200586,3.232814,5.534991,1051
52,24,-40.625,-29.6875,3.150162,0.213017,3.019916,5.424587,818
53,21,-41.796875,-29.296875,3.434404,0.255201,3.386724,5.632092,233
53,22,-41.40625,-29.296875,4.374866,0.610004,3.385792,5.528597,8
53,23,-41.015625,-29.296875,4.768482,0.746992,3.324509,5.473704,9
53,24,-40.625,-29.296875,3.107762,0.380835,3.018537,6.40044,259
54,22,-41.40625,-28.90625,5.45594,0.0,5.45594,5.45594,1
54,24,-40.625,-28.90625,4.448994,0.02547,4.423524,4.474464,2
54,25,-40.234375,-28.90625,6.392243,0.070491,6.296902,6.465134,3
76,24,-40.625,-20.3125,1.795879,0.002107,1.790904,1.801166,185
77,22,-41.40625,-19.921875,1.654897,0.084482,1.552142,1.984663,465
77,23,-41.015625,-19.921875,1.593379,0.150133,1.386895,3.39072,1117
77,24,-40.625,-19.921875,1.580175,0.172559,1.400715,3.935299,956
77,25,-40.234375,-19.921875,1.624744,0.142752,1.510437,3.918901,684
77,26,-39.84375,-19.921875,1.408252,0.027187,1.400319,1.735761,228
78,21,-41.796875,-19.53125,1.574984,0.076844,1.479798,1.925376,679
78,22,-41.40625,-19.53125,1.432029,0.256278,1.22797,5.223196,906
78,23,-41.015625,-19.53125,1.320858,0.479392,1.160332,5.213873,493
78,24,-40.625,-19.53125,1.443919,0.612102,1.292419,5.201069,243
78,25,-40.234375,-19.53125,1.203103,0.481069,0.969017,5.094617,304
78,26,-39.84375,-19.53125,2.595359,0.616207,1.54312,3.549202,7
79,20,-42.1875,-19.140625,1.499769,0.084265,1.397882,1.84878,640
79,21,-41.796875,-19.140625,1.376019,0.397335,1.246378,5.229421,467
79,22,-41.40625,-19.140625,1.250731,0.632966,1.098606,5.136693,241
79,23,-41.015625,-19.140625,1.049019,0.397877,0.949388,4.873622,462
79,24,-40.625,-19.140625,3.833575,0.965881,2.128842,4.856563,8
79,25,-40.234375,-19.140625,1.024431,0.107475,0.965898,2.704549,385
79,26,-39.84375,-19.140625,2.916344,0.474616,2.108784,3.445156,5
80,20,-42.1875,-18.75,1.340761,0.294431,1.269194,5.227654,271
80,21,-41.796875,-18.75,3.278283,1.072562,1.389529,4.969397,10
80,22,-41.40625,-18.75,3.718443,1.041201,2.084604,4.785816,6
80,23,-41.015625,-18.75,3.411934,0.667685,2.704251,4.508842,4
80,24,-40.625,-18.75,4.482511,0.0,4.482511,4.482511,1
80,25,-40.234375,-18.75,3.213288,0.039967,3.173321,3.253255,2
81,19,-42.578125,-18.359375,1.377187,0.178716,1.262622,5.225039,682
81,20,-42.1875,-18.359375,3.46139,1.313072,1.404607,5.136217,10
81,21,-41.796875,-18.359375,3.673765,0.814312,2.836595,4.777198,3
82,18,-42.96875,-17.96875,1.38572,0.073747,1.373953,2.458958,228
82,19,-42.578125,-17.96875,3.435911,1.232178,1.494878,5.130131,7
83,17,-43.359375,-17.578125,1.28716,0.019689,1.279626,1.58123,227
83,18,-42.96875,-17.578125,1.242923,0.354792,1.155491,5.219031,459
83,19,-42.578125,-17.578125,3.609326,0.948818,2.260957,4.94318,4
84,16,-43.75,-17.1875,4.609676,0.894469,3.064736,5.221181,4
84,17,-43.359375,-17.1875,2.467963,0.941422,1.437055,3.71303,3
84,18,-42.96875,-17.1875,3.107539,1.129111,1.375069,4.934237,6
109,1,-49.609375,-7.421875,-0.59738,0.102644,-0.610309,0.925501,228
109,2,-49.21875,-7.421875,-0.644935,0.002217,-0.650217,-0.639232,226
110,1,-49.609375,-7.03125,2.303692,1.326836,0.745887,4.667459,5
110,2,-49.21875,-7.03125,1.750175,1.847278,-0.394909,4.623291,4
110,4,-48.4375,-7.03125,-0.655019,0.194433,-0.679751,1.853198,229
110,6,-47.65625,-7.03125,-0.712767,0.002231,-0.71837,-0.706951,226
111,0,-50.0,-6.640625,-0.952076,0.06024,-1.020466,-0.886438,386
111,1,-49.609375,-6.640625,-0.820295,0.774102,-1.010862,4.527183,68
111,2,-49.21875,-6.640625,-0.95627,0.259549,-1.046273,2.586351,456
111,4,-48.4375,-6.640625,-0.907108,0.360373,-1.008017,4.584637,458
111,6,-47.65625,-6.640625,2.323068,2.097619,-0.453547,4.797331,5
112,0,-50.0,-6.25,-0.147476,0.48819,-0.635666,0.340714,2
112,2,-49.21875,-6.25,1.900553,2.575887,-0.675334,4.476441,2
112,4,-48.4375,-6.25,3.399512,1.042904,2.356608,4.442415,2
112,6,-47.65625,-6.25,-0.978303,0.3624,-1.079055,4.54034,458
113,0,-50.0,-5.859375,-1.281317,0.390145,-1.478644,4.348735,293
113,2,-49.21875,-5.859375,-1.282132,0.287308,-1.319572,2.37684,229
113,4,-48.4375,-5.859375,-1.304011,0.235565,-1.338048,1.341854,229
113,6,-47.65625,-5.859375,3.338182,1.049799,2.288383,4.387981,2
113,7,-47.265625,-5.859375,-0.827652,0.638631,-0.934562,4.735166,232
114,0,-50.0,-5.46875,-1.567415,0.272148,-1.67926,2.243983,394
114,2,-49.21875,-5.46875,-1.495016,0.430775,-1.543763,4.306169,230
114,4,-48.4375,-5.46875,-2.708471,0.342176,-3.261382,4.279845,1012
114,5,-48.046875,-5.46875,-2.645261,0.242602,-2.993171,-1.743286,908
114,7,-47.265625,-5.46875,-0.675458,0.0,-0.675458,-0.675458,1
115,0,-50.0,-5.078125,-1.76304,0.73064,-1.892206,4.191882,234
115,2,-49.21875,-5.078125,-2.21997,0.481062,-2.960552,2.170003,606
115,3,-48.828125,-5.078125,-4.363567,0.363625,-4.819344,0.209566,1429
115,4,-48.4375,-5.078125,-3.44583,0.419089,-4.498079,2.117009,1524
115,5,-48.046875,-5.078125,-3.749564,0.647876,-4.945262,-0.086388,3250
115,7,-47.265625,-5.078125,-2.065557,0.727027,-2.8069,4.446146,1133
115,9,-46.484375,-5.078125,-1.049417,0.10288,-1.064842,0.47833,228
115,16,-43.75,-5.078125,-1.090292,0.003007,-1.097995,-1.082826,226
115,18,-42.96875,-5.078125,-1.294661,0.062927,-1.367268,-1.225621,452
116,0,-50.0,-4.6875,-2.116434,0.414982,-2.232837,3.91796,460
116,2,-49.21875,-4.6875,-2.737125,0.487754,-2.965482,4.141981,769
116,3,-48.828125,-4.6875,-3.202404,1.600358,-4.999931,3.079727,203
116,4,-48.4375,-4.6875,-1.455688,1.305768,-1.700257,6.578686,188
116,5,-48.046875,-4.6875,-3.035627,1.760974,-4.945204,2.784311,499
116,7,-47.265625,-4.6875,-3.045622,0.641733,-3.708526,1.420144,1239
116,9,-46.484375,-4.6875,-1.284041,0.485033,-1.401419,4.653412,457
116,11,-45.703125,-4.6875,-1.127739,0.110424,-1.452381,0.402704,232
116,13,-44.921875,-4.6875,-1.193738,0.10877,-1.452855,-1.139767,267
116,15,-44.140625,-4.6875,-1.278951,0.143341,-1.58569,0.37138,698
116,16,-43.75,-4.6875,-1.381424,0.232446,-1.555712,2.481791,683
116,18,-42.96875,-4.6875,-1.511234,0.22651,-1.543431,1.378151,230
117,0,-50.0,-4.296875,-2.382667,0.519675,-2.450231,3.766186,230
117,1,-49.609375,-4.296875,1.192981,2.049367,-1.372791,3.850899,8
117,2,-49.21875,-4.296875,-1.778347,1.159001,-2.473188,6.576938,236
117,3,-48.828125,-4.296875,-0.172327,2.320348,-4.00142,4.073547,26
117,4,-48.4375,-4.296875,6.378027,0.445739,5.28249,7.196512,57
117,5,-48.046875,-4.296875,2.721413,4.089015,-4.645205,7.060099,96
117,6,-47.65625,-4.296875,6.117534,0.063714,6.05382,6.181248,2
117,7,-47.265625,-4.296875,-3.03925,1.124653,-3.926348,4.281918,610
117,9,-46.484375,-4.296875,-1.536591,0.546137,-1.623559,4.376468,234
117,11,-45.703125,-4.296875,-1.435966,0.425708,-1.646052,4.598889,681
117,13,-44.921875,-4.296875,-1.438473,0.386338,-1.63727,4.560173,644
117,14,-44.53125,-4.296875,4.468323,0.063988,4.404335,4.53231,2
117,15,-44.140625,-4.296875,-1.626574,0.377734,-1.763109,2.354082,444
117,16,-43.75,-4.296875,-1.714888,0.658038,-1.91517,4.509084,467
117,18,-42.96875,-4.296875,-1.607362,0.6529,-1.73056,4.21574,236
118,0,-50.0,-3.90625,-0.190693,2.108333,-2.144999,3.609128,5
118,1,-49.609375,-3.90625,-2.229996,0.499137,-2.358845,3.68589,461
118,2,-49.21875,-3.90625,6.403447,0.395057,5.402809,7.057682,43
118,3,-48.828125,-3.90625,-0.978219,2.665965,-2.515037,8.559975,266
118,4,-48.4375,-3.90625,6.428719,0.860015,4.626345,8.494556,195
118,5,-48.046875,-3.90625,1.224177,3.947026,-2.820679,7.928846,387
118,7,-47.265625,-3.90625,-2.033545,2.435392,-3.602504,6.909883,504
118,9,-46.484375,-3.90625,-1.733451,0.535601,-1.817795,4.222231,233
118,11,-45.703125,-3.90625,-1.738345,0.57307,-1.834899,4.322024,235
118,13,-44.921875,-3.90625,-1.837789,0.505586,-2.003501,4.287657,463
118,14,-44.53125,-3.90625,2.611238,1.58533,0.948172,4.265245,4
118,15,-44.140625,-3.90625,-1.999318,0.344791,-2.147503,2.072516,423
118,16,-43.75,-3.90625,-1.566785,1.455105,-2.119513,4.101497,48
118,17,-43.359375,-3.90625,-2.117483,0.002126,-2.12303,-2.112152,186
118,18,-42.96875,-3.90625,-1.874712,0.513993,-1.942429,4.071697,230
118,20,-42.1875,-3.90625,1.958754,0.0,1.958754,1.958754,1
119,0,-50.0,-3.515625,6.312488,0.0,6.312488,6.312488,1
119,1,-49.609375,-3.515625,-2.515977,0.461464,-2.595252,1.299627,233
119,2,-49.21875,-3.515625,6.23262,0.539099,5.390004,7.195184,27
119,3,-48.828125,-3.515625,2.988412,4.413379,-2.180504,9.411123,574
119,4,-48.4375,-3.515625,6.314107,1.211136,-0.485502,7.888529,54
119,5,-48.046875,-3.515625,3.072367,4.263551,-2.077966,9.489861,586
119,7,-47.265625,-3.515625,-0.406414,3.302603,-2.074058,7.60655,290
119,9,-46.484375,-3.515625,-1.982866,0.497944,-2.229492,4.068122,244
119,11,-45.703125,-3.515625,-2.047226,0.542414,-2.216766,4.176294,461
119,12,-45.3125,-3.515625,3.997802,0.0,3.997802,3.997802,1
119,13,-44.921875,-3.515625,-2.093266,0.586385,-2.188684,4.144323,234
119,14,-44.53125,-3.515625,2.579816,1.545295,0.606862,3.981304,5
119,15,-44.140625,-3.515625,-2.388085,0.231243,-2.495293,1.755174,483
119,16,-43.75,-3.515625,1.746519,1.467094,-0.624645,3.810771,7
119,17,-43.359375,-3.515625,-1.878865,0.0,-1.878865,-1.878865,1
119,18,-42.96875,-3.515625,1.468879,1.617584,-0.495862,3.92298,4
119,20,-42.1875,-3.515625,1.048644,0.064056,0.984589,1.1127,2
120,0,-50.0,-3.125,6.219543,0.162002,6.045438,6.435564,3
120,1,-49.609375,-3.125,3.954789,3.355406,-2.177294,6.913528,7
120,2,-49.21875,-3.125,5.915842,0.0,5.915842,5.915842,1
120,3,-48.828125,-3.125,1.575803,5.020713,-2.551427,9.695456,771
120,5,-48.046875,-3.125,6.606121,2.06446,-1.790125,9.529461,173
120,7,-47.265625,-3.125,5.31776,2.656829,-2.312333,7.828277,77
120,9,-46.484375,-3.125,-2.373881,0.454798,-2.577685,3.914832,672
120,11,-45.703125,-3.125,-2.507248,0.45086,-2.722355,3.878278,686
120,12,-45.3125,-3.125,3.784232,0.065795,3.718437,3.850028,2
120,13,-44.921875,-3.125,-2.50064,0.334322,-2.70563,1.763795,684
120,14,-44.53125,-3.125,1.420332,1.505813,0.289624,3.548483,3
120,15,-44.140625,-3.125,-2.639502,0.44815,-2.721375,1.590871,234
120,16,-43.75,-3.125,3.524007,0.0,3.524007,3.524007,1
120,17,-43.359375,-3.125,-2.516479,0.065955,-2.580241,-2.431468,380
120,18,-42.96875,-3.125,3.698483,0.065496,3.632987,3.763979,2
121,1,-49.609375,-2.734375,2.990294,1.937689,0.976353,6.303927,5
121,3,-48.828125,-2.734375,0.567512,2.366332,-2.181085,3.595051,3
121,5,-48.046875,-2.734375,-2.28572,0.479276,-2.350015,3.683425,229
121,7,-47.265625,-2.734375,-1.188589,2.941469,-2.318362,7.872084,256
121,9,-46.484375,-2.734375,-2.690912,0.599657,-2.789488,3.625794,233
121,11,-45.703125,-2.734375,-2.799354,0.652357,-2.925698,3.594402,236
121,12,-45.3125,-2.734375,3.490364,0.078128,3.412236,3.568491,2
121,13,-44.921875,-2.734375,-2.793406,0.557947,-2.907112,1.304609,237
121,14,-44.53125,-2.734375,1.741075,1.645563,0.095512,3.386638,2
121,15,-44.140625,-2.734375,-1.714596,1.523697,-2.720891,1.285618,10
121,16,-43.75,-2.734375,0.626053,0.441098,0.251123,1.245284,3
121,17,-43.359375,-2.734375,-2.459044,0.042289,-2.579477,-2.439725,72
122,3,-48.828125,-2.34375,2.294241,1.13583,1.158412,3.430071,2
122,5,-48.046875,-2.34375,0.408555,0.065623,0.342932,0.474178,2
122,7,-47.265625,-2.34375,0.681454,0.476927,0.279306,1.35146,3
122,9,-46.484375,-2.34375,-0.220963,2.104197,-2.521674,3.466782,6
122,11,-45.703125,-2.34375,-3.031217,0.74862,-3.154395,3.439149,233
122,12,-45.3125,-2.34375,3.257388,0.0,3.257388,3.257388,1
122,13,-44.921875,-2.34375,-3.095731,0.357862,-3.140189,0.96906,229
122,14,-44.53125,-2.34375,3.218862,0.0,3.218862,3.218862,1
122,15,-44.140625,-2.34375,-2.997072,0.225194,-3.022957,-0.104718,166
122,16,-43.75,-2.34375,3.338392,0.0,3.338392,3.338392,1
123,1,-49.609375,-1.953125,6.425956,0.0,6.425956,6.425956,1
123,5,-48.046875,-1.953125,0.658442,2.850914,-2.192473,3.509356,2
123,7,-47.265625,-1.953125,-2.731335,0.299989,-2.824165,3.47299,452
123,9,-46.484375,-1.953125,2.620252,2.444599,-0.083175,6.284682,4
123,10,-46.09375,-1.953125,3.062937,0.067572,2.995365,3.130508,2
123,11,-45.703125,-1.953125,2.78542,2.926661,-0.235417,6.401935,5
123,12,-45.3125,-1.953125,3.03121,0.068293,2.962917,3.099503,2
123,13,-44.921875,-1.953125,3.064125,3.212169,-1.535109,6.397677,8
123,15,-44.140625,-1.953125,3.596128,2.680464,0.915665,6.276592,2
124,7,-47.265625,-1.5625,-2.689172,0.0,-2.689172,-2.689172,1
124,8,-46.875,-1.5625,2.999877,0.0,2.999877,2.999877,1
124,9,-46.484375,-1.5625,4.770678,1.63365,3.137028,6.404328,2
