frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,20.468,3.513,35685,904,111,111,85
2,20.5,3.574,35685,904,111,111,85
3,20.6,2.317,35685,916,111,111,84
4,20.7,3.001,35685,909,111,111,84
5,20.8,2.947,35685,909,111,111,84
6,20.9,2.361,35685,912,111,111,84
7,21.0,2.354,35685,905,111,111,84
8,21.1,2.813,35685,906,111,111,85
9,21.2,2.221,35685,911,111,111,84
10,21.3,2.841,35685,907,111,111,84
11,21.4,2.91,35685,907,111,111,85
12,21.5,2.462,35685,907,111,111,84
13,21.6,2.501,35685,907,111,111,84
14,21.7,3.174,35685,896,111,111,84
15,21.8,2.665,35685,907,111,111,84
16,21.9,2.765,35685,907,111,111,85
17,22.0,2.605,35685,913,111,111,84
18,22.1,3.813,35685,911,111,111,84
19,22.2,2.867,35685,911,111,111,84
20,22.3,3.505,35685,908,111,111,85
21,22.4,2.255,35685,913,111,111,84
22,22.5,2.482,35685,910,111,111,84
23,22.6,2.165,35685,910,111,111,85
24,22.7,3.123,35685,904,111,111,84
25,22.8,2.481,35685,908,111,111,84
26,22.9,2.266,35685,906,111,111,84
27,23.0,2.512,35685,899,111,111,84
28,23.1,2.451,35685,901,111,111,85
29,23.2,2.365,35685,905,111,111,84
30,23.3,2.275,35685,911,111,111,84
31,23.4,2.13,35685,906,111,111,84
32,23.5,2.215,35685,913,111,111,84
33,23.6,2.353,35685,901,111,111,84
34,23.7,3.025,35685,911,111,111,84
35,23.8,2.899,35685,907,111,111,85
36,23.9,2.83,35685,910,111,111,84
37,24.0,3.005,35685,907,111,111,84
38,24.1,2.787,35685,911,111,111,84
39,24.2,2.805,35685,903,111,111,84
40,24.3,2.263,35685,907,111,111,84
41,24.4,2.459,35685,905,111,111,84
42,24.5,2.667,35685,914,111,111,84
43,24.6,2.582,35685,915,111,111,84
44,24.7,2.802,35685,910,111,111,85
45,24.8,2.668,35685,908,111,111,85
46,24.9,2.565,35685,912,111,111,85
47,25.0,2.307,35685,909,111,111,84
48,25.1,3.656,35685,909,111,111,85
49,25.2,2.862,35685,912,111,111,85
50,25.3,2.565,35685,913,111,111,84
51,25.4,2.478,35685,911,111,111,84
52,25.5,2.889,35685,909,111,111,84
53,25.6,2.624,35685,902,111,111,84
54,25.7,3.234,35685,910,111,111,85
55,25.8,3.42,35685,910,111,111,84
56,25.9,2.839,35685,906,111,111,85
57,26.0,2.676,35685,905,111,111,84
58,26.1,2.63,35685,907,111,111,84
59,26.2,2.41,35685,906,111,111,84
60,26.3,2.629,35685,908,111,111,84
61,26.4,2.374,35685,907,111,111,85
62,26.5,2.827,35685,907,111,111,84
63,26.6,3.839,35685,909,111,111,85
64,26.7,2.691,35685,916,111,111,84
65,26.8,3.247,35685,913,111,111,85
66,26.9,2.553,35685,912,111,111,85
67,27.0,2.488,35685,903,111,111,84
68,27.1,2.672,35685,909,111,111,84
69,27.2,3.079,35685,914,111,111,84
70,27.3,2.278,35685,912,111,111,84
71,27.4,2.756,35685,905,111,111,84
72,27.5,3.232,35685,908,111,111,84
73,27.6,3.029,35685,905,111,111,85
74,27.7,2.666,35685,909,111,111,84
75,27.8,2.494,35685,899,111,111,85
76,27.9,2.775,35685,910,111,111,85
77,28.0,3.055,35685,905,111,111,84
78,28.1,3.705,35685,901,111,111,84
79,28.2,2.622,35685,909,111,111,85
80,28.3,2.636,35685,911,111,111,84
81,28.4,2.431,35685,904,111,111,84
82,28.5,2.502,35685,910,111,111,84
83,28.6,2.448,35685,907,111,111,85
84,28.7,3.158,35685,916,111,111,85
85,28.8,3.183,35685,902,111,111,84
86,28.9,3.373,35685,911,111,111,85
87,29.0,2.662,35685,904,111,111,85
88,29.1,2.446,35685,904,111,111,84
89,29.2,2.81,35685,908,111,111,84
90,29.3,3.418,35685,913,111,111,85
91,29.4,3.595,35685,911,111,111,85
92,29.5,2.568,35685,907,111,111,85
93,29.6,3.477,35685,910,111,111,84
94,29.7,2.427,35685,914,111,111,84
95,29.8,3.155,35685,904,111,111,84
96,29.9,2.572,35685,906,111,111,84
97,30.0,2.46,35685,906,111,111,84
98,30.1,2.914,35685,905,111,111,84
99,30.2,2.673,35685,907,111,111,85
100,30.3,2.32,35685,906,111,111,84
101,30.4,2.374,35685,907,111,111,84
102,30.5,2.518,35685,909,111,111,83
103,30.6,2.713,35685,909,111,111,85
104,30.7,2.707,35685,908,111,111,84
105,30.8,2.523,35685,907,111,111,85
106,30.9,2.926,35685,909,111,111,85
107,31.0,2.787,35685,908,111,111,84
108,31.1,2.865,35685,902,111,111,83
109,31.2,2.811,35685,906,111,111,85
110,31.3,2.829,35685,910,111,111,84
111,31.4,2.786,35685,908,111,111,85
112,31.5,2.435,35685,904,111,111,85
113,31.6,2.854,35685,905,111,111,84
114,31.7,2.882,35685,910,111,111,85
115,31.8,2.997,35685,916,111,111,84
116,31.9,2.796,35685,909,111,111,84
117,32.0,3.035,35685,911,111,111,84
118,32.1,2.589,35685,912,111,111,84
119,32.2,2.667,35685,904,111,111,84
120,32.3,2.559,35685,902,111,111,84
121,32.4,2.875,35685,912,111,111,85
122,32.5,2.538,35685,915,111,111,85
123,32.6,2.678,35685,911,111,111,84
124,32.7,2.561,35685,910,111,111,84
125,32.8,2.547,35685,907,111,111,85
126,32.9,2.562,35685,911,111,111,84
127,33.0,2.564,35685,906,111,111,85
128,33.1,2.476,35685,911,111,111,84
129,33.2,2.966,35685,912,111,111,85
130,33.3,3.174,35685,914,111,111,85
131,33.4,2.643,35685,905,111,111,85
