frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,8.86,6.116,36877,2102,99,99,17
2,8.9,4.11,36877,2105,99,99,17
3,9.0,3.622,36877,2100,99,99,17
4,9.1,3.782,36877,2101,99,99,17
5,9.2,3.497,36877,2098,99,99,17
6,9.3,2.957,36877,2099,99,99,17
7,9.4,3.639,36877,2097,99,99,17
8,9.5,4.377,36877,2104,99,99,17
9,9.6,3.781,36877,2094,99,99,17
10,9.7,3.939,36877,2095,99,99,17
11,9.8,3.676,36877,2096,99,99,17
12,9.9,3.711,36877,2103,99,99,17
13,10.0,3.795,36877,2102,99,99,17
14,10.1,3.746,36877,2095,99,99,17
15,10.2,3.778,36877,2097,99,99,17
16,10.3,4.269,36877,2095,99,99,17
17,10.4,4.017,36877,2094,99,99,17
18,10.5,3.848,36877,2098,99,99,17
19,10.6,3.998,36877,2095,99,99,17
20,10.7,3.334,36877,2100,99,99,17
21,10.8,3.872,36877,2101,99,99,17
22,10.9,4.002,36877,2099,99,99,17
23,11.0,3.918,36877,2098,99,99,17
24,11.1,3.247,36877,2103,99,99,17
25,11.2,3.8,36877,2097,99,99,17
26,11.3,3.928,36877,2098,99,99,17
27,11.4,3.965,36877,2092,99,99,17
28,11.5,4.064,36877,2104,99,99,17
29,11.6,3.749,36877,2099,99,99,17
30,11.7,3.733,36877,2105,99,99,17
31,11.8,3.89,36877,2101,99,99,17
32,11.9,4.3,36877,2098,99,99,17
33,12.0,4.257,36877,2092,99,99,17
34,12.1,3.936,36877,2101,99,99,17
35,12.2,3.775,36877,2103,99,99,17
36,12.3,4.38,36877,2103,99,99,17
37,12.4,4.098,36877,2103,99,99,17
38,12.5,4.291,36877,2101,99,99,17
39,12.6,3.836,36877,2101,99,99,17
40,12.7,3.784,36877,2104,99,99,17
41,12.8,3.699,36877,2100,99,99,17
42,12.9,3.755,36877,2106,99,99,17
43,13.0,3.967,36877,2104,99,99,17
44,13.1,3.919,36877,2103,99,99,17
45,13.2,3.641,36877,2103,99,99,17
46,13.3,3.499,36877,2103,99,99,17
47,13.4,3.768,36877,2101,99,99,17
48,13.5,4.158,36877,2099,99,99,17
49,13.6,4.107,36877,2105,99,99,17
50,13.7,4.187,36877,2107,99,99,17
51,13.8,3.996,36877,2106,99,99,17
