row,col,x_m,y_m,height_mean_m,height_std_m,height_min_m,height_max_m,sample_count
203,168,15.625,29.296875,5.832457,4.6e-05,5.832289,5.832638,6591
205,168,15.625,30.078125,5.831934,4e-05,5.831858,5.832098,6170
205,169,16.015625,30.078125,5.831837,1.9e-05,5.831755,5.831858,421
208,167,15.234375,31.25,5.555058,0.093138,5.461527,5.64856,13182
208,168,15.625,31.25,5.832611,4.6e-05,5.832446,5.832773,6591
218,130,0.78125,35.15625,5.9037,4.7e-05,5.903525,5.903901,6591
219,127,-0.390625,35.546875,5.496582,0.00014,5.496058,5.497039,6591
219,128,0.0,35.546875,5.697045,0.069437,5.62797,5.767293,11251
219,129,0.390625,35.546875,5.700372,0.069405,5.627726,5.766895,1931
220,99,-11.328125,35.9375,5.807552,0.05114,5.756001,5.858991,13182
221,99,-11.328125,36.328125,5.805868,0.05142,5.754065,5.857573,13182
221,128,0.0,36.328125,5.906584,4.6e-05,5.906411,5.906769,6591
222,122,-2.34375,36.71875,5.52661,0.000138,5.526075,5.527103,6591
222,124,-1.5625,36.71875,5.714925,0.066548,5.647915,5.781747,13182
223,99,-11.328125,37.109375,5.649901,0.000136,5.649483,5.650393,6582
223,100,-10.9375,37.109375,5.649426,4.6e-05,5.649315,5.649469,9
227,90,-14.84375,38.671875,5.609362,0.000173,5.608769,5.609972,6591
229,86,-16.40625,39.453125,5.63452,0.000169,5.634041,5.63515,6579
229,87,-16.015625,39.453125,5.717871,0.003582,5.633942,5.71857,6603
229,88,-15.625,39.453125,5.847012,0.044577,5.802073,5.891862,13182
229,89,-15.234375,39.453125,5.979032,4.7e-05,5.978859,5.979218,6591
231,84,-17.1875,40.234375,5.564309,0.000203,5.563556,5.565092,6591
231,85,-16.796875,40.234375,5.68657,0.040997,5.644967,5.728135,13182
231,86,-16.40625,40.234375,5.854173,0.043386,5.810393,5.897849,13182
231,87,-16.015625,40.234375,5.983123,4.7e-05,5.982945,5.983297,6591
232,84,-17.1875,40.625,5.609418,0.040531,5.568109,5.650608,13182
232,85,-16.796875,40.625,5.815425,0.068815,5.731143,5.900448,19773
232,86,-16.40625,40.625,5.984958,4.7e-05,5.984782,5.98515,6591
233,42,-33.59375,41.015625,5.912227,0.016093,5.898717,5.965058,19970
233,43,-33.203125,41.015625,5.969772,0.024258,5.930092,5.997058,32758
