frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,94.812,3.677,13512,13026,12680,12680,233
2,94.9,3.165,13512,13020,12680,12680,233
3,95.0,2.967,13512,13022,12680,12680,231
4,95.1,2.632,13512,13022,12680,12680,230
5,95.2,2.601,13512,13026,12680,12680,235
6,95.3,2.641,13512,13021,12680,12680,235
7,95.4,2.604,13512,13019,12680,12680,232
8,95.5,2.898,13512,13027,12680,12680,232
9,95.6,2.592,13512,13025,12680,12680,231
10,95.7,2.705,13512,13019,12680,12680,232
11,95.8,2.935,13512,13015,12680,12680,231
12,95.9,2.701,13512,13023,12680,12680,231
13,96.0,2.601,13512,13023,12680,12680,230
14,96.1,2.573,13512,13020,12680,12680,232
15,96.2,2.683,13512,13017,12680,12680,232
16,96.3,2.612,13512,13023,12680,12680,232
17,96.4,2.619,13512,13025,12680,12680,231
18,96.5,2.724,13512,13027,12680,12680,234
19,96.6,2.932,13512,13030,12680,12680,231
20,96.7,2.623,13512,13024,12680,12680,231
21,96.8,2.698,13512,13024,12680,12680,233
22,96.9,2.752,13512,13019,12680,12680,231
23,97.0,2.651,13512,13025,12680,12680,231
24,97.1,2.76,13512,13025,12680,12680,236
25,97.2,2.664,13512,13027,12680,12680,227
26,97.3,2.592,13512,13026,12680,12680,231
27,97.4,2.812,13512,13024,12680,12680,231
28,97.5,3.095,13512,13024,12680,12680,232
29,97.6,3.314,13512,13020,12680,12680,233
30,97.7,2.798,13512,13022,12680,12680,233
31,97.8,2.895,13512,13023,12680,12680,230
32,97.9,3.038,13512,13029,12680,12680,231
33,98.0,3.059,13512,13024,12680,12680,232
34,98.1,2.861,13512,13025,12680,12680,232
35,98.2,3.22,13512,13023,12680,12680,232
36,98.3,3.416,13512,13032,12680,12680,230
37,98.4,2.943,13512,13021,12680,12680,232
38,98.5,3.018,13512,13025,12680,12680,231
39,98.6,2.909,13512,13028,12680,12680,233
40,98.7,2.936,13512,13022,12680,12680,230
41,98.8,2.689,13512,13028,12680,12680,232
42,98.9,2.966,13512,13026,12680,12680,231
43,99.0,3.111,13512,13021,12680,12680,234
44,99.1,3.125,13512,13014,12680,12680,232
45,99.2,3.105,13512,13027,12680,12680,230
46,99.3,3.099,13512,13023,12680,12680,231
47,99.4,3.375,13512,13023,12680,12680,233
48,99.5,3.177,13512,13025,12680,12680,232
49,99.6,3.48,13512,13028,12680,12680,232
50,99.7,3.074,13512,13024,12680,12680,233
51,99.8,2.808,13512,13021,12680,12680,231
52,99.9,3.235,13512,13027,12680,12680,232
53,100.0,3.085,13512,13029,12680,12680,233
54,100.1,3.083,13512,13026,12680,12680,231
55,100.2,2.755,13512,13025,12680,12680,232
56,100.3,2.802,13512,13024,12680,12680,234
57,100.4,2.823,13512,13025,12680,12680,232
58,100.5,2.956,13512,13024,12680,12680,234
59,100.6,2.943,13512,13029,12680,12680,233
60,100.7,2.788,13512,13016,12680,12680,232
61,100.8,2.953,13512,13027,12680,12680,232
62,100.9,3.155,13512,13024,12680,12680,233
63,101.0,2.735,13512,13023,12680,12680,230
64,101.1,2.802,13512,13027,12680,12680,231
65,101.2,2.792,13512,13028,12680,12680,232
66,101.3,2.84,13512,13024,12680,12680,231
67,101.4,3.239,13512,13017,12680,12680,233
68,101.5,2.775,13512,13026,12680,12680,234
69,101.6,2.843,13512,13024,12680,12680,233
70,101.7,2.861,13512,13018,12680,12680,232
71,101.8,2.86,13512,13025,12680,12680,232
72,101.9,2.84,13512,13025,12680,12680,230
73,102.0,3.678,13512,13028,12680,12680,233
74,102.1,3.088,13512,13023,12680,12680,230
75,102.2,2.787,13512,13020,12680,12680,232
76,102.3,2.862,13512,13021,12680,12680,234
77,102.4,2.793,13512,13024,12680,12680,231
78,102.5,2.766,13512,13031,12680,12680,234
79,102.6,3.542,13512,13030,12680,12680,231
80,102.7,3.326,13512,13020,12680,12680,234
81,102.8,3.55,13512,13026,12680,12680,233
82,102.9,3.22,13512,13021,12680,12680,231
83,103.0,3.257,13512,13021,12680,12680,231
84,103.1,3.373,13512,13023,12680,12680,232
85,103.2,3.126,13512,13024,12680,12680,232
86,103.3,3.247,13512,13030,12680,12680,233
87,103.4,3.338,13512,13026,12680,12680,228
88,103.5,3.168,13512,13030,12680,12680,230
89,103.6,3.762,13512,13020,12680,12680,233
90,103.7,3.458,13512,13021,12680,12680,232
91,103.8,3.261,13512,13018,12680,12680,231
92,103.9,3.106,13512,13019,12680,12680,234
93,104.0,3.295,13512,13023,12680,12680,233
94,104.1,3.307,13512,13025,12680,12680,232
95,104.2,2.92,13512,13019,12680,12680,232
96,104.3,2.89,13512,13027,12680,12680,233
