row,col,x_m,y_m,height_mean_m,height_std_m,height_min_m,height_max_m,sample_count
1,180,20.3125,-49.609375,6.397341,5e-05,6.397222,6.397519,2238
1,181,20.703125,-49.609375,6.397203,1.7e-05,6.397156,6.397222,34
5,51,-30.078125,-48.046875,3.433148,0.002575,3.430211,3.445757,163
5,52,-29.6875,-48.046875,3.496515,0.055884,3.401696,3.624035,11344
5,53,-29.296875,-48.046875,3.618862,0.01917,3.550088,3.653884,4397
6,54,-28.90625,-47.65625,3.56571,0.005692,3.547671,3.584957,2272
6,88,-15.625,-47.65625,6.362052,0.000129,6.361582,6.362275,2030
7,85,-16.796875,-47.265625,5.947922,0.074254,5.889565,6.080801,3841
7,86,-16.40625,-47.265625,6.093575,0.078852,5.980994,6.267622,5266
7,87,-16.015625,-47.265625,6.273153,0.024072,6.265755,6.362558,2417
7,88,-15.625,-47.265625,6.362294,1e-05,6.362275,6.362311,78
7,167,15.234375,-47.265625,5.166477,0.000665,5.164384,5.16867,2272
7,168,15.625,-47.265625,5.469872,0.105036,5.363191,5.778762,4555
7,169,16.015625,-47.265625,5.778248,0.011467,5.776342,5.984322,2268
7,170,16.40625,-47.265625,5.98339,0.000257,5.982664,5.984122,2265
7,171,16.796875,-47.265625,6.191764,0.000159,6.191142,6.192347,2272
7,172,17.1875,-47.265625,6.402989,5.2e-05,6.402797,6.403163,2272
8,40,-34.375,-46.875,4.271403,0.004054,4.259789,4.300117,944
8,41,-33.984375,-46.875,4.273775,0.008471,4.24655,4.295465,4548
9,37,-35.546875,-46.484375,4.076882,0.02145,4.025307,4.143601,7450
9,38,-35.15625,-46.484375,4.138466,0.026724,4.039314,4.212687,12475
9,39,-34.765625,-46.484375,4.210867,0.022907,4.14641,4.282594,10832
9,40,-34.375,-46.484375,4.339876,0.097525,4.205832,4.49801,10981
9,41,-33.984375,-46.484375,4.478693,0.013108,4.426266,4.503115,2788
9,42,-33.59375,-46.484375,4.456117,0.005543,4.432265,4.468445,2243
9,85,-16.796875,-46.484375,5.888241,0.000323,5.887843,5.889757,559
9,86,-16.40625,-46.484375,5.995607,0.080748,5.885167,6.170912,6477
9,87,-16.015625,-46.484375,6.219135,0.047339,6.16855,6.265351,4290
9,88,-15.625,-46.484375,6.357931,0.015236,6.263572,6.360874,1332
9,89,-15.234375,-46.484375,6.36015,9e-05,6.359742,6.360264,974
10,36,-35.9375,-46.09375,4.12993,0.01929,4.086613,4.205874,11811
10,37,-35.546875,-46.09375,4.195482,0.026017,4.114827,4.279892,13174
10,38,-35.15625,-46.09375,4.272805,0.027787,4.189252,4.348008,12683
10,39,-34.765625,-46.09375,4.355961,0.027201,4.268846,4.42848,11671
10,40,-34.375,-46.09375,4.488902,0.072722,4.370079,4.601304,12586
10,41,-33.984375,-46.09375,4.578032,0.003206,4.56465,4.5822,957
11,35,-36.328125,-45.703125,4.110293,0.018591,4.056328,4.178607,12102
11,36,-35.9375,-45.703125,4.180552,0.033652,4.095431,4.281949,15821
11,37,-35.546875,-45.703125,4.273688,0.025176,4.203075,4.346713,12879
11,38,-35.15625,-45.703125,4.348822,0.026858,4.267136,4.439757,12190
11,39,-34.765625,-45.703125,4.467306,0.051042,4.358243,4.599071,17492
11,40,-34.375,-45.703125,4.556657,0.041153,4.450348,4.630126,13748
12,34,-36.71875,-45.3125,4.053463,0.014114,4.010419,4.102871,5650
12,35,-36.328125,-45.3125,4.103014,0.028088,4.022668,4.194482,15764
12,36,-35.9375,-45.3125,4.199857,0.037629,4.105417,4.299897,16739
12,37,-35.546875,-45.3125,4.304672,0.030897,4.213923,4.403076,14204
12,38,-35.15625,-45.3125,4.409733,0.030237,4.31854,4.485312,19016
12,39,-34.765625,-45.3125,4.492655,0.032882,4.400091,4.602694,20890
12,40,-34.375,-45.3125,4.588925,0.023962,4.508182,4.635276,7641
13,22,-41.40625,-44.921875,5.702782,0.011097,5.672993,5.728802,4931
13,23,-41.015625,-44.921875,5.646533,0.025766,5.565443,5.683347,3458
13,34,-36.71875,-44.921875,4.007009,0.019804,3.954174,4.079026,9861
13,35,-36.328125,-44.921875,4.076613,0.031015,3.987832,4.165548,16691
13,36,-35.9375,-44.921875,4.176491,0.040566,4.062102,4.291953,32621
13,37,-35.546875,-44.921875,4.291095,0.035668,4.151654,4.403739,29548
13,38,-35.15625,-44.921875,4.375176,0.02611,4.291621,4.450167,19557
13,39,-34.765625,-44.921875,4.447556,0.023902,4.384539,4.509543,10527
13,40,-34.375,-44.921875,4.531629,0.032384,4.443654,4.599184,11418
13,41,-33.984375,-44.921875,4.576563,0.004186,4.545131,4.582213,1471
13,173,17.578125,-44.921875,5.109709,0.00069,5.107414,5.111806,2270
13,174,17.96875,-44.921875,5.426425,0.108505,5.107169,5.536696,4546
