frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,5.6,4.208,13512,13023,12680,12680,232
2,5.7,2.805,13512,13020,12680,12680,232
3,5.8,2.75,13512,13020,12680,12680,231
4,5.9,2.964,13512,13027,12680,12680,231
5,6.0,2.875,13512,13029,12680,12680,233
6,6.1,2.943,13512,13028,12680,12680,234
7,6.2,2.795,13512,13023,12680,12680,230
8,6.3,2.865,13512,13024,12680,12680,233
9,6.4,2.788,13512,13025,12680,12680,231
10,6.5,2.942,13512,13022,12680,12680,228
11,6.6,2.881,13512,13027,12680,12680,230
12,6.7,3.026,13512,13024,12680,12680,232
13,6.8,2.936,13512,13023,12680,12680,231
14,6.9,2.742,13512,13025,12680,12680,232
15,7.0,2.794,13512,13019,12680,12680,233
16,7.1,2.99,13512,13024,12680,12680,233
17,7.2,2.895,13512,13023,12680,12680,232
18,7.3,3.066,13512,13020,12680,12680,231
19,7.4,3.154,13512,13027,12680,12680,233
20,7.5,2.916,13512,13024,12680,12680,231
21,7.6,2.87,13512,13025,12680,12680,233
22,7.7,2.692,13512,13023,12680,12680,232
23,7.8,2.913,13512,13027,12680,12680,232
24,7.9,3.006,13512,13022,12680,12680,231
25,8.0,2.874,13512,13018,12680,12680,235
26,8.1,2.92,13512,13025,12680,12680,231
27,8.2,3.17,13512,13018,12680,12680,230
28,8.3,3.122,13512,13029,12680,12680,231
29,8.4,2.802,13512,13023,12680,12680,229
30,8.5,2.915,13512,13022,12680,12680,233
31,8.6,3.01,13512,13023,12680,12680,232
32,8.7,2.909,13512,13021,12680,12680,232
33,8.8,2.615,13512,13022,12680,12680,231
34,8.9,2.735,13512,13026,12680,12680,232
35,9.0,2.518,13512,13022,12680,12680,232
36,9.1,2.789,13512,13023,12680,12680,232
37,9.2,3.088,13512,13028,12680,12680,234
38,9.3,3.125,13512,13025,12680,12680,233
39,9.4,2.958,13512,13022,12680,12680,233
40,9.5,2.61,13512,13020,12680,12680,232
41,9.6,3.19,13512,13025,12680,12680,231
42,9.7,3.11,13512,13023,12680,12680,231
43,9.8,2.937,13512,13025,12680,12680,232
44,9.9,2.692,13512,13023,12680,12680,233
45,10.0,2.9,13512,13027,12680,12680,233
46,10.1,2.659,13512,13021,12680,12680,232
47,10.2,2.618,13512,13023,12680,12680,231
48,10.3,2.686,13512,13022,12680,12680,231
49,10.4,2.701,13512,13026,12680,12680,231
50,10.5,2.828,13512,13018,12680,12680,233
51,10.6,2.638,13512,13021,12680,12680,231
