frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,27.454,4.037,35685,911,111,111,84
2,27.5,2.654,35685,910,111,111,84
3,27.6,2.81,35685,902,111,111,85
4,27.7,2.827,35685,906,111,111,84
5,27.8,2.515,35685,906,111,111,84
6,27.9,2.762,35685,913,111,111,85
7,28.0,2.899,35685,911,111,111,84
8,28.1,2.743,35685,908,111,111,84
9,28.2,2.704,35685,905,111,111,84
10,28.3,2.644,35685,909,111,111,84
11,28.4,2.63,35685,907,111,111,84
12,28.5,2.549,35685,906,111,111,85
13,28.6,2.523,35685,907,111,111,85
14,28.7,2.869,35685,910,111,111,84
15,28.8,2.607,35685,911,111,111,84
16,28.9,2.526,35685,907,111,111,84
17,29.0,2.557,35685,915,111,111,85
18,29.1,2.497,35685,905,111,111,85
19,29.2,2.506,35685,911,111,111,84
20,29.3,3.85,35685,904,111,111,84
21,29.4,4.449,35685,903,111,111,84
22,29.5,3.302,35685,907,111,111,84
23,29.6,2.731,35685,913,111,111,84
24,29.7,2.398,35685,916,111,111,85
25,29.8,3.136,35685,912,111,111,84
26,29.9,2.773,35685,907,111,111,84
27,30.0,3.902,35685,908,111,111,85
28,30.1,2.704,35685,907,111,111,85
29,30.2,2.705,35685,906,111,111,85
30,30.3,2.6,35685,908,111,111,85
31,30.4,2.502,35685,903,111,111,84
32,30.5,3.232,35685,908,111,111,84
33,30.6,2.345,35685,909,111,111,85
34,30.7,2.809,35685,906,111,111,84
35,30.8,2.354,35685,909,111,111,84
36,30.9,3.478,35685,907,111,111,84
37,31.0,2.606,35685,906,111,111,84
38,31.1,2.75,35685,909,111,111,84
39,31.2,3.146,35685,908,111,111,84
40,31.3,2.728,35685,907,111,111,84
41,31.4,3.198,35685,909,111,111,84
42,31.5,3.791,35685,906,111,111,84
43,31.6,2.681,35685,907,111,111,84
44,31.7,2.715,35685,906,111,111,84
45,31.8,2.623,35685,914,111,111,84
46,31.9,2.836,35685,909,111,111,84
47,32.0,2.93,35685,912,111,111,85
48,32.1,2.839,35685,911,111,111,84
49,32.2,3.173,35685,907,111,111,85
50,32.3,2.705,35685,905,111,111,84
51,32.4,3.284,35685,903,111,111,85
52,32.5,2.831,35685,911,111,111,85
53,32.6,2.666,35685,913,111,111,85
54,32.7,4.163,35685,905,111,111,84
55,32.8,3.372,35685,910,111,111,84
56,32.9,3.802,35685,906,111,111,84
57,33.0,2.843,35685,906,111,111,85
58,33.1,2.537,35685,901,111,111,83
59,33.2,2.947,35685,909,111,111,84
60,33.3,2.764,35685,906,111,111,84
61,33.4,3.348,35685,905,111,111,85
62,33.5,2.762,35685,900,111,111,84
63,33.6,2.737,35685,904,111,111,85
64,33.7,2.805,35685,905,111,111,84
65,33.8,3.43,35685,906,111,111,85
66,33.9,3.008,35685,913,111,111,85
67,34.0,2.685,35685,909,111,111,84
68,34.1,2.863,35685,909,111,111,84
69,34.2,2.975,35685,906,111,111,84
70,34.3,3.383,35685,908,111,111,85
71,34.4,2.743,35685,905,111,111,84
72,34.5,2.893,35685,907,111,111,85
73,34.6,2.739,35685,906,111,111,84
74,34.7,2.581,35685,909,111,111,84
75,34.8,2.806,35685,907,111,111,84
76,34.9,2.933,35685,908,111,111,85
77,35.0,3.015,35685,907,111,111,85
78,35.1,2.678,35685,906,111,111,85
79,35.2,2.813,35685,909,111,111,84
80,35.3,3.198,35685,903,111,111,84
81,35.4,2.669,35685,910,111,111,84
82,35.5,2.67,35685,902,111,111,84
83,35.6,2.884,35685,914,111,111,84
84,35.7,2.746,35685,911,111,111,84
85,35.8,2.661,35685,908,111,111,84
86,35.9,3.216,35685,911,111,111,84
87,36.0,2.688,35685,913,111,111,85
88,36.1,2.872,35685,915,111,111,85
89,36.2,2.597,35685,907,111,111,84
90,36.3,2.765,35685,910,111,111,85
91,36.4,2.7,35685,909,111,111,85
92,36.5,2.718,35685,912,111,111,84
93,36.6,2.558,35685,904,111,111,84
94,36.7,2.588,35685,909,111,111,85
95,36.8,3.406,35685,905,111,111,85
96,36.9,2.734,35685,906,111,111,84
97,37.0,2.655,35685,914,111,111,84
98,37.1,3.405,35685,911,111,111,85
99,37.2,3.206,35685,908,111,111,84
100,37.3,2.774,35685,906,111,111,84
101,37.4,2.862,35685,906,111,111,84
102,37.5,2.779,35685,907,111,111,84
103,37.6,2.582,35685,908,111,111,84
104,37.7,2.617,35685,910,111,111,84
105,37.8,2.569,35685,907,111,111,84
106,37.9,2.712,35685,908,111,111,84
107,38.0,2.772,35685,909,111,111,84
108,38.1,2.968,35685,911,111,111,85
109,38.2,2.93,35685,910,111,111,85
110,38.3,2.656,35685,910,111,111,85
111,38.4,3.207,35685,908,111,111,85
112,38.5,2.967,35685,911,111,111,84
113,38.6,2.896,35685,908,111,111,84
114,38.7,3.254,35685,913,111,111,85
115,38.8,3.381,35685,906,111,111,84
116,38.9,2.717,35685,906,111,111,84
117,39.0,2.831,35685,912,111,111,84
118,39.1,2.962,35685,906,111,111,85
119,39.2,2.687,35685,906,111,111,85
120,39.3,2.843,35685,902,111,111,84
121,39.4,3.009,35685,911,111,111,84
122,39.5,2.625,35685,907,111,111,84
123,39.6,2.803,35685,910,111,111,85
124,39.7,2.943,35685,908,111,111,84
125,39.8,2.624,35685,907,111,111,84
126,39.9,2.735,35685,909,111,111,85
127,40.0,2.796,35685,905,111,111,85
128,40.1,2.639,35685,907,111,111,85
129,40.2,2.75,35685,904,111,111,85
130,40.3,3.114,35685,909,111,111,85
131,40.4,3.32,35685,910,111,111,84
132,40.5,2.906,35685,916,111,111,83
133,40.6,2.721,35685,904,111,111,85
134,40.7,2.658,35685,916,111,111,85
135,40.8,2.651,35685,905,111,111,84
136,40.9,2.794,35685,909,111,111,84
