frame_index,stamp_sec,processing_ms,points_in,points_after_range,points_after_self_filter,points_used,cells_updated
1,12.421,4.931,43132,8352,0,0,0
2,12.5,3.431,43132,8357,0,0,0
3,12.6,3.389,43132,8354,0,0,0
4,12.7,3.449,43132,8351,0,0,0
5,12.8,3.423,43132,8357,0,0,0
6,12.9,3.118,43132,8358,0,0,0
7,13.0,2.904,43132,8360,0,0,0
8,13.1,3.668,43132,8356,0,0,0
9,13.2,3.318,43132,8357,0,0,0
10,13.3,3.328,43132,8356,0,0,0
11,13.4,3.515,43132,8358,0,0,0
12,13.5,3.376,43132,8358,0,0,0
13,13.6,3.744,43132,8349,0,0,0
14,13.7,3.332,43132,8360,0,0,0
15,13.8,3.25,43132,8351,0,0,0
16,13.9,3.382,43132,8352,0,0,0
17,14.0,3.001,43132,8354,0,0,0
18,14.1,3.445,43132,8355,0,0,0
19,14.2,3.042,43132,8356,0,0,0
20,14.3,3.411,43132,8352,0,0,0
21,14.4,3.72,43132,8352,0,0,0
22,14.5,3.489,43132,8354,0,0,0
23,14.6,3.702,43132,8359,0,0,0
24,14.7,3.466,43132,8356,0,0,0
25,14.8,3.124,43132,8356,0,0,0
26,14.9,3.289,43132,8351,0,0,0
27,15.0,3.437,43132,8360,0,0,0
28,15.1,3.971,43132,8355,0,0,0
29,15.2,3.543,43132,8351,0,0,0
30,15.3,3.757,43132,8353,0,0,0
31,15.4,3.771,43132,8353,0,0,0
32,15.5,3.813,43132,8354,0,0,0
33,15.6,3.693,43132,8356,0,0,0
34,15.7,2.914,43132,8358,0,0,0
35,15.8,3.416,43132,8350,0,0,0
36,15.9,3.581,43132,8355,0,0,0
37,16.0,3.878,43132,8356,0,0,0
38,16.1,3.563,43132,8354,0,0,0
39,16.2,4.042,43132,8358,0,0,0
40,16.3,3.807,43132,8357,0,0,0
41,16.4,3.182,43132,8352,0,0,0
42,16.5,3.452,43132,8356,0,0,0
43,16.6,3.197,43132,8355,0,0,0
44,16.7,3.772,43132,8354,0,0,0
45,16.8,3.183,43132,8360,0,0,0
46,16.9,3.998,43132,8355,0,0,0
